study,case,h,eps_rel,eta,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
bandwidth_clean,VB09,0.005,1e-08,0.0,completed,False,,,3.041234737956044e-14,4.9626912174311805e-11,0.5507364658508813,511,547,0.9033989521310403,nan,nan,2.0053020448820296e-09,0.10234670352285793,True,True,nan,2.768218951002142e-16,0.2005302044882029,303.9470320309656,0.004000032004378012,-2.1843638009499955e-14,0.0040000340096800575,nan,nan,7.901675381807078e-11,26.73980698059455,1.9996704939532397
bandwidth_clean,VB09,0.007,1e-08,0.0,completed,False,,,2.114506090213384e-14,2.4655632438994865e-11,0.6052203121938201,365,391,1.1112388164965614,nan,nan,2.0053020448820296e-09,0.06485934373222736,True,True,nan,1.384109475501071e-16,0.200530204488203,245.01657381000496,0.0028571420423040006,-6.994405055138486e-15,0.0028571440476060457,nan,nan,4.887561553905362e-13,18.90294040076927,1.9996704939532397
bandwidth_clean,VB09,0.01,1e-08,0.0,completed,False,,,1.6152489638627507e-14,1.3166748292657901e-11,0.24966921419249538,255,273,0.41412056596343466,nan,nan,2.0053020448820296e-09,0.016594433408346404,True,True,nan,4.152328426503213e-16,0.20053020448820288,145.77571254821635,0.002000012594602779,-1.27675647831893e-15,0.002000014599904824,nan,nan,1.9803437876557438e-13,5.961550569741197,1.9996704939532397
bandwidth_clean,VB09,0.014,1e-08,0.0,completed,False,,,1.1493978159564642e-14,6.6927560796806585e-12,0.020357086738281013,182,195,0.021562445661594272,nan,nan,2.0053020448820296e-09,0.011602174528038245,True,True,nan,2.768218951002142e-16,0.2005302044882029,71.23697494560795,0.0014285748483563177,-3.885780586188048e-16,0.0014285768536583625,nan,nan,6.1811361615088495e-15,1.9726520311498534,1.9996704939532397
bandwidth_clean,VB09,0.02,1e-08,0.0,completed,False,,,9.079504239351192e-15,3.694251494810637e-12,0.03700304203865061,127,136,0.04203899097553967,nan,nan,2.0053020448820296e-09,0.02304424798508112,True,True,nan,4.152328426503213e-16,0.20053020448820288,44.81882141594116,0.0011830883136166592,-9.992007221626409e-16,0.001183090318918704,nan,nan,2.906569077797876e-15,1.9157384140411378,1.9996704939532397
bandwidth_clean,VB09,0.028,1e-08,0.0,completed,False,,,4.71119297327834e-15,1.3758134472995038e-12,0.06815030076938086,91,98,0.076987644777067,nan,nan,2.0053020448820296e-09,0.04308435159008557,True,True,nan,2.768218951002142e-16,0.2005302044882029,43.62912701286616,0.0019126079275041674,8.604228440844963e-16,0.0019126099328062123,nan,nan,2.7570087587787096e-15,1.8458615846731778,1.9996704939532397
bandwidth_clean,VB09,0.04,1e-08,0.0,completed,False,,,5.654508121654728e-15,1.146947343029883e-12,0.12398352651698617,63,68,0.13826000465976476,nan,nan,2.0053020448820296e-09,0.0807131468156864,True,True,nan,4.152328426503213e-16,0.20053020448820288,37.94666643029233,0.002736454600846483,2.7755575615628914e-17,0.002736456606148528,nan,nan,1.7028387863934322e-15,1.7231045917104477,1.9996704939532397
bandwidth_clean,VH05,0.005,1e-08,0.0,completed,False,,,3.552432242868104e-14,5.796864040836726e-11,0.5868666299377701,511,547,0.8696210214387248,nan,nan,2.342370864051082e-09,0.08606536886608994,True,True,nan,1.0664416313163834e-15,0.23423708640510846,318.1273860914829,0.02594024232157155,0.003102388037821785,0.025940244663942413,nan,nan,1.0953449737120075e-11,31.315369130283308,2.1633101765552287
bandwidth_clean,VH05,0.007,1e-08,0.0,completed,False,,,2.4699308865791226e-14,2.8799968168013234e-11,0.42410350376338934,365,391,0.7056180654240248,nan,nan,2.342370864051082e-09,0.06043102131710229,True,True,nan,1.1849351459070924e-16,0.23423708640510824,187.99432688011146,0.022504475839779742,0.011234496377774156,0.022504478182150605,nan,nan,8.762661049148441e-14,16.018677388501693,2.1633101765552287
bandwidth_clean,VH05,0.01,1e-08,0.0,completed,False,,,1.8867542277719002e-14,1.53799312446373e-11,0.11782180125053221,255,273,0.20256351829077152,nan,nan,2.342370864051082e-09,0.010179118246047334,True,True,nan,4.73974058362837e-16,0.23423708640510832,129.34317027830497,0.019669066429266607,0.009174071968356318,0.01966906877163747,nan,nan,1.9137049607829983e-14,3.5416138117405334,2.1633101765552287
