study,case,eta,seed,arm,selection,tau,status,censored,failure_step,failure_message,E2_at_selection,E2_tikhonov_projected,E2_tikhonov_raw,coarse_winner_z,delta_nom,delta_real,evaluations,lambda_selected,residual_at_selection,selection_label,target_residual,z_selected
lambda_noise,B,0.001,16,P,oracle_continuous,none,completed,False,,,0.003247608919503045,0.0032191255742639742,0.003247608919503045,-3.0625,0.0024123835679934085,0.002225832134380154,76,0.0010502456283905453,0.002514967360676546,oracle_continuous,nan,-2.9787091175212863
lambda_noise,B,0.001,16,P,residual,1.2,completed,False,,,0.0034983654088134924,0.0034473739805439413,0.0034983654088134924,nan,0.0024123835679934085,0.002225832134380154,73,0.0015323107389837983,0.0028948602616564777,morozov,0.0028948602815920903,-2.8146531547154936
lambda_noise,B,0.001,16,P,residual,1.0,completed,False,,,0.0032883055190627373,0.0032594646346820006,0.0032883055190627373,nan,0.0024123835679934085,0.002225832134380154,72,0.000893231021025134,0.0024123838160156116,morozov,0.0024123835679934085,-3.049036202723196
lambda_noise,B,0.001,17,R,oracle_continuous,none,completed,False,,,0.004076788675345778,0.003764659302832536,0.004076788675345778,-2.890625,0.0024118446528764597,0.002429131470793813,76,0.001525738405430245,0.0030796539206506606,oracle_continuous,nan,-2.8165199217002552
lambda_noise,B,0.001,17,R,residual,1.2,completed,False,,,0.004121972274217195,0.003761856025966509,0.004121972274217195,nan,0.0024118446528764597,0.002429131470793813,71,0.0012876127661872745,0.0028942136591939205,morozov,0.0028942135834517514,-2.8902147261016746
lambda_noise,B,0.001,17,R,residual,1.0,completed,False,,,0.005596929031283823,0.004625043024275055,0.005596929031283823,nan,0.0024118446528764597,0.002429131470793813,73,0.00034533655264842725,0.0024118446454090368,morozov,0.0024118446528764597,-3.4617574506880624
lambda_noise,B,0.001,17,P,oracle_continuous,none,completed,False,,,0.0035741576532270277,0.0034490568553902437,0.0035741576532270277,-2.890625,0.0024118454044437373,0.002259656187935176,77,0.0012744956893001869,0.002711867918204888,oracle_continuous,nan,-2.89466162909727
lambda_noise,B,0.001,17,P,residual,1.2,completed,False,,,0.0036119593226881645,0.0035023880772324786,0.0036119593226881645,nan,0.0024118454044437373,0.002259656187935176,73,0.0014977019619665,0.0028942144696473384,morozov,0.0028942144853324847,-2.824574601290224
lambda_noise,B,0.001,17,P,residual,1.0,completed,False,,,0.0037519284526954266,0.0035437855389692497,0.0037519284526954266,nan,0.0024118454044437373,0.002259656187935176,72,0.0008345295250497437,0.0024118455169321903,morozov,0.0024118454044437373,-3.0785582936889258
lambda_noise,B,0.001,18,R,oracle_continuous,none,completed,False,,,0.003003014307510108,0.0027930634205641258,0.003003014307510108,-3.0625,0.0024122169643374727,0.002336391163929378,75,0.0010505288878302189,0.0026500077969937278,oracle_continuous,nan,-2.9785920007042335
lambda_noise,B,0.001,18,R,residual,1.2,completed,False,,,0.0031533724752148985,0.0029684765274700987,0.0031533724752148985,nan,0.0024122169643374727,0.002336391163929378,73,0.0013873890987387253,0.0028946603556107477,morozov,0.0028946603572049673,-2.8578017222454655
lambda_noise,B,0.001,18,R,residual,1.0,completed,False,,,0.003504816647909943,0.0032187754971794848,0.003504816647909943,nan,0.0024122169643374727,0.002336391163929378,73,0.000615281181425589,0.0024122169640345475,morozov,0.0024122169643374727,-3.2109263677463717
lambda_noise,B,0.001,18,P,oracle_continuous,none,completed,False,,,0.002830032296113143,0.0027828562951368097,0.002830032296113143,-3.0625,0.002412217680458167,0.002190024047427543,75,0.0010505168822656007,0.002493337611057295,oracle_continuous,nan,-2.978596963899743
lambda_noise,B,0.001,18,P,residual,1.2,completed,False,,,0.0031600223613010166,0.003112796271629191,0.0031600223613010166,nan,0.002412217680458167,0.002190024047427543,73,0.001553635692374439,0.0028946611951392314,morozov,0.0028946612165498004,-2.808650810078187
lambda_noise,B,0.001,18,P,residual,1.0,completed,False,,,0.002861652100380336,0.002801110641927838,0.002861652100380336,nan,0.002412217680458167,0.002190024047427543,73,0.0009291412590248376,0.002412217679240533,morozov,0.002412217680458167,-3.0319182544117997
lambda_noise,B,0.001,19,R,oracle_continuous,none,completed,False,,,0.004896478889917268,0.00473695685019265,0.004896478889917268,-2.890625,0.0024119234627328367,0.0024771205490115487,76,0.0014637777694241545,0.0030831158814733466,oracle_continuous,nan,-2.834524852812302
lambda_noise,B,0.001,19,R,residual,1.2,completed,False,,,0.00494916268818206,0.004755298300793572,0.00494916268818206,nan,0.0024119234627328367,0.0024771205490115487,72,0.0012081082819505686,0.00289430815438181,morozov,0.002894308155279404,-2.9178941384416315
lambda_noise,B,0.001,19,R,residual,1.0,completed,True,,,86.83165432930038,3.447265521618376,86.83165432930038,nan,0.0024119234627328367,0.0024771205490115487,66,1e-12,0.002413196487574513,endpoint,0.0024119234627328367,-12.0
lambda_noise,B,0.001,19,P,oracle_continuous,none,completed,False,,,0.004631867056113681,0.004545949878007677,0.004631867056113681,-2.890625,0.0024119243820843214,0.002288590772330497,77,0.0013155390326370004,0.00278868397908692,oracle_continuous,nan,-2.880896261673771
lambda_noise,B,0.001,19,P,residual,1.2,completed,False,,,0.004644545883303664,0.004564288799082609,0.004644545883303664,nan,0.0024119243820843214,0.002288590772330497,73,0.0014472111906835392,0.002894309250577321,morozov,0.0028943092585011856,-2.839468087916264
