test,n_grid,method_name,method_type,n_particles,globs_per_jump,recon_method,bandwidth_factor,bandwidth_used,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds
H,200,density_particle_oracle_deterministic,density_particle_oracle,20000,0,kde,1.0,0.005025125628140704,True,,,0.009325793000288421,0.009368314795956827,0.002972791724343471,0.025314211236614852,0.0012467076365362672,0.0004891901639451737,-0.0009371190377275071,2.197530388042362,0.7964243831876576,0.9940828211958682,0.4620301590756208,0.46975451284123376,0.2095448791696411,True,0.14482522695301492,0.23401757766479536,0.23423708569714397,0.08720624999841675
H,200,density_particle_oracle_deterministic,density_particle_oracle,20000,0,kde,2.0,0.010050251256281407,True,,,0.012174700899883423,0.016867966987716417,0.005352611836786672,0.025156948239448293,0.0024427743426169986,0.0008518634696161493,-0.001756276680836838,2.162583784957317,0.785636645201146,0.9806177575459692,0.4617960798660719,0.46980518867707677,0.20954912230896008,True,0.14220833617222303,0.2338257005657469,0.23423708569714397,0.09096054098336026
H,200,density_particle_oracle_deterministic,density_particle_oracle,20000,0,kde,4.0,0.020100502512562814,True,,,0.025221974619338276,0.050476555598048124,0.01601742576156832,0.054309074808740254,0.006845724986449346,0.0021509531094705673,-0.0034503866549044637,2.0338612745435007,0.7468559450530554,0.9322123739025591,0.46067753108361015,0.47000698347072833,0.20979101204650794,True,0.13251797180248695,0.23342887718257083,0.23423708569714397,0.09415812499355525
H,200,oracle_score_deterministic,gradient_glob_oracle,0,20,,,,True,,,,0.2390327377327885,0.07585083977812904,0.2380614795377065,0.046804002829531864,0.010993808874890192,-0.08765045035232304,1.2985292971200333,0.5635905032996956,0.7034636926571224,0.4204149747012922,0.48165759714371376,0.20796305630664358,True,0.07783911594120906,0.2137060996465736,0.23423708569714397,0.01638933300273493
H,200,oracle_score_deterministic,gradient_glob_oracle,0,80,,,,True,,,,0.23903273773279515,0.07585083977813115,0.23806147953770918,0.04680400282953323,0.010993808874890274,-0.08765045035232825,1.2985292971199964,0.5635905032996863,0.7034636926571108,0.4204149747910989,0.48165759713549494,0.20796305625287342,True,0.07783911594120774,0.2137060996465724,0.23423708569714397,0.06871999998111278
H,200,tikhonov_best,baseline_tikhonov,0,0,,1e-05,,True,,,,0.004630281147106713,0.0014692996312894034,0.0039583015932834476,8.198635902782427e-06,0.00015507718265427443,-5.825401085052753e-06,2.184390538652036,0.8033311550328197,1.0027037315875296,0.46212519840463484,0.4697128797864486,0.2096551044674252,True,0.14707080404105966,0.23423572117217079,0.23423708569714397,
H,200,spectral_cutoff_best,baseline_spectral,0,0,,0.01,,True,,,,0.007308735033004555,0.002319237503730364,0.006299675229875401,1.219854041750818e-05,0.00018809436677238848,1.084949927014928e-05,2.194119970719737,0.801907853580633,1.0009271919023193,0.4621289016838743,0.4697138102293459,0.20965653225165762,True,0.14708480798942428,0.23423962705223428,0.23423708569714397,
H,400,density_particle_oracle_deterministic,density_particle_oracle,1000,0,histogram,,,True,,,0.142054095090204,0.13055403899686044,0.04142664268379882,0.0925123439300668,0.00040466613284363657,0.0002946379259567661,-1.7197575842058985e-05,23.92550146805283,0.8411309109862324,1.049505789271402,0.46209389617930047,0.4697148894592893,0.20959686994307292,True,0.15182461951865517,0.23423305791875026,0.2342370862288057,0.007745250011794269
H,400,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,1.0,0.002506265664160401,True,,,0.0063652993707791075,0.006046999049431934,0.001918798306470718,0.025951049571923065,0.000542958429534129,0.0002323481883218624,-0.00040877867401485976,2.2525834992456524,0.7998777193019452,0.9980328699753818,0.46206978947566524,0.4697312352018629,0.20958715131128777,True,0.14577778787227663,0.234141335103292,0.2342370862288057,0.009801333013456315
H,400,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,2.0,0.005012531328320802,True,,,0.007599874942374371,0.00785629090026513,0.0024929121951798856,0.025328806766598704,0.0009119810641152757,0.00038076176670548563,-0.0008490046991126601,2.19953832457037,0.7971080556816809,0.9945770725889873,0.46203944211587433,0.4697440197448287,0.2095544143425425,True,0.1451067802765932,0.234038217841891,0.2342370862288057,0.009361749980598688
